name,year,fuel,transmission,registration_location,color,assembly,body_type,price_pkr,mileage_km,engine_cc,battery_kwh,feature_count,brand,model
Suzuki Alto VXL AGS 2022,2022,Petrol,Automatic,Islamabad,Solid White,Local,Hatchback,2390000.0,120000.0,660.0,,10,Suzuki,Alto
Honda N Box Custom GL 2022,2022,Petrol,Automatic,Islamabad,White,Imported,Hatchback,3340000.0,37110.0,658.0,,20,Honda,N
Honda Civic EX 1995,1995,LPG,Manual,Karachi,Black,Local,Sedan,630000.0,786.0,1500.0,,8,Honda,Civic
Toyota Corolla GLi Automatic 1.6 VVTi 2012,2012,Petrol,Automatic,Lahore,Medium Silver,Imported,Sedan,3325000.0,133000.0,1600.0,,9,Toyota,Corolla
Toyota Corolla Hatchback 1998,1998,Petrol,Automatic,Punjab,Black,Local,Unknown,1645000.0,125225.0,1600.0,,15,Toyota,Corolla
Suzuki Bolan Cargo Van Euro ll 2024,2024,Petrol,Manual,Islamabad,Solid White,Local,Mini Van,2349000.0,4100.0,800.0,,5,Suzuki,Bolan
Toyota Prado TX L Package 2.7 2022,2022,Petrol,Automatic,Un-Registered,White Pearl Crystal Shine,Imported,SUV,35000000.0,4917.0,2700.0,,22,Toyota,Prado
Honda Civic 1.5 VTEC Turbo Oriel 2021,2021,Petrol,Automatic,Islamabad,White,Local,Sedan,6850000.0,75000.0,1500.0,,15,Honda,Civic
BMW iX xDrive40 2022,2022,Electric,Automatic,Islamabad,Sophisto Grey Brilliant Effect,Imported,SUV,34500000.0,22000.0,,71.0,18,BMW,iX
Suzuki Alto VXR 2006,2006,Petrol,Manual,Karachi,Blue,Local,Hatchback,1095000.0,180000.0,1000.0,,7,Suzuki,Alto
KIA Sportage AWD 2021,2021,Petrol,Automatic,Punjab,White,Local,Crossover,6984999.999999999,43736.0,2000.0,,21,KIA,Sportage
Honda City VTEC Steermatic 2006,2006,Petrol,Automatic,Islamabad,Black,Local,Sedan,2140000.0,170000.0,1500.0,,8,Honda,City
Suzuki Liana Eminent Automatic 2010,2010,Petrol,Automatic,Lahore,White,Local,Sedan,1780000.0,,1600.0,,11,Suzuki,Liana
Honda City Aspire 1.5 i-VTEC 2014,2014,Petrol,Manual,Rawalpindi,Bronze,Local,Sedan,2850000.0,147500.0,1500.0,,13,Honda,City
Chery Tiggo 8 Pro 1.6 DEX Plus 2023,2023,Petrol,Automatic,Punjab,Quartz Black,Local,Crossover,7900000.0,28874.0,1600.0,,21,Chery,Tiggo
MG HS Trophy 2021,2021,Petrol,Automatic,Punjab,White,Local,Crossover,6450000.0,31500.0,1500.0,,15,MG,HS
Suzuki Bolan VX Euro II 2022,2022,Petrol,Manual,Punjab,Solid White,Local,Van,1720000.0,60000.0,800.0,,4,Suzuki,Bolan
Isuzu D-Max V-Cross Limited GTX Edition 2024,2024,Diesel,Automatic,Karachi,Black,Local,Double Cabin,13000000.0,3497.0,3000.0,,20,Isuzu,D-Max
Toyota Corolla Altis Automatic 1.6 2015,2015,Petrol,Automatic,Sindh,Phantom Brown,Local,Sedan,3550000.0,113026.0,1600.0,,19,Toyota,Corolla
Suzuki Baleno 1999,1999,Petrol,Manual,Lahore,Keen Gold,Local,Unknown,810000.0,100000.0,1300.0,,1,Suzuki,Baleno
Toyota Prado RZ 3.4 (3-Door) 2003,2003,Petrol,Automatic,Bahawalpur,Dark Grey Mica Metallic,Imported,SUV,6500000.0,163109.0,3400.0,,17,Toyota,Prado
KIA Sportage FWD 2024,2024,Petrol,Automatic,Islamabad,White,Local,Crossover,8435000.0,4980.0,2000.0,,21,KIA,Sportage
Toyota C-HR G Nero 2019,2019,Hybrid,Automatic,Islamabad,Navy,Imported,Crossover,9500000.0,57000.0,1800.0,,14,Toyota,C-HR
Honda Civic Oriel 1.8 i-VTEC CVT 2018,2018,Petrol,Automatic,Islamabad,Lunar Silver Metallic,Local,Sedan,5775000.0,31000.0,1800.0,,14,Honda,Civic
Suzuki Wagon R VXL 2018,2018,Petrol,Manual,Karachi,Silky Silver,Local,Hatchback,2350000.0,39550.0,1000.0,,8,Suzuki,Wagon
Honda City Aspire 1.5 i-VTEC 2018,2018,Petrol,Manual,Sindh,Lunar Silver Metallic,Local,Sedan,3600000.0,85000.0,1500.0,,13,Honda,City
Suzuki Ravi Euro II 2018,2018,Petrol,Manual,Lahore,Solid White,Local,Pick Up,1320000.0,68000.0,800.0,,1,Suzuki,Ravi
Honda Civic Turbo 1.5 VTEC CVT 2016,2016,Petrol,Automatic,Lahore,Red,Local,Sedan,4690000.0,129.0,1500.0,,16,Honda,Civic
Honda City 1.3 i-VTEC 2016,2016,Petrol,Manual,Punjab,Lunar Silver Metallic,Local,Sedan,3450000.0,116000.0,1300.0,,8,Honda,City
Toyota Corolla GLi 1.3 VVTi 2012,2012,Petrol,Manual,Islamabad,Wine Red,Local,Sedan,2800000.0,156722.0,1300.0,,12,Toyota,Corolla
Suzuki Alto VXR 2011,2011,Petrol,Manual,Islamabad,Solid White,Local,Hatchback,1325000.0,150000.0,1000.0,,7,Suzuki,Alto
Suzuki Cultus VXRi 2008,2008,Petrol,Manual,Karachi,Solid White,Local,Hatchback,950000.0,85000.0,1000.0,,6,Suzuki,Cultus
Honda BR-V i-VTEC S 2018,2018,Petrol,Automatic,Lahore,Black,Local,MPV,4275000.0,75000.0,1500.0,,14,Honda,BR-V
Toyota Belta X L Package 1.3 2006,2006,Petrol,Automatic,Gujranwala,Silver Metallic,Imported,Sedan,2500000.0,200000.0,1300.0,,12,Toyota,Belta
Honda Civic EX 1994,1994,Petrol,Manual,Punjab,Maroon,Imported,Sedan,434999.99999999994,100000.0,1500.0,,7,Honda,Civic
Toyota Corolla GLi 1.3 VVTi 2017,2017,Petrol,Manual,Karachi,White,Local,Sedan,3490000.0,105000.0,1300.0,,11,Toyota,Corolla
Suzuki Swift DLX 1.3 2014,2014,Petrol,Manual,Lahore,Solid White,Local,Hatchback,2030000.0,118000.0,1300.0,,11,Suzuki,Swift
Toyota Corolla XE 1999,1999,Petrol,Manual,Lahore,British Green,Local,Sedan,1350000.0,386088.0,1300.0,,4,Toyota,Corolla
Toyota Corolla GLi 1.3 VVTi 2015,2015,Petrol,Manual,Lahore,Attitude Black,Local,Sedan,3440000.0,120000.0,1300.0,,12,Toyota,Corolla
Daihatsu Mira X Memorial Edition 2017,2017,Petrol,Automatic,Karachi,Pearl White,Imported,Hatchback,2900000.0,56500.0,660.0,,10,Daihatsu,Mira
Suzuki Mehran VXR Euro II 2017,2017,Petrol,Manual,Punjab,White,Local,Hatchback,1095000.0,32000.0,800.0,,5,Suzuki,Mehran
Suzuki Wagon R FX Limited 2009,2009,Petrol,Automatic,Islamabad,Bluish Black Pearl,Imported,Hatchback,1950000.0,148424.0,660.0,,13,Suzuki,Wagon
Mercedes Benz CLA Class CLA180 2013,2013,Petrol,Automatic,Lahore,Cirrus White,Imported,Sedan,12000000.0,144000.0,1600.0,,16,Mercedes Benz,CLA
Suzuki Alto VXR 2022,2022,Petrol,Manual,Punjab,Solid White,Local,Hatchback,2600000.0,36000.0,660.0,,7,Suzuki,Alto
Suzuki Wagon R AGS 2022,2022,Petrol,Automatic,Lahore,Pearl Black,Local,Hatchback,3000000.0,65563.0,1000.0,,12,Suzuki,Wagon
Daihatsu Cast Style G SA III 2021,2021,Petrol,Automatic,Karachi,White,Imported,Hatchback,3550000.0,19284.0,660.0,,19,Daihatsu,Cast
Toyota Corolla SE Saloon Automatic 2003,2003,Petrol,Automatic,Sindh,white,Local,Sedan,2000000.0,86000.0,1600.0,,9,Toyota,Corolla
Suzuki Bolan VX Euro II 2016,2016,Petrol,Manual,Lahore,Solid White,Local,Van,1365000.0,16000.0,800.0,,2,Suzuki,Bolan
Honda Vezel Hybrid Z 2015,2015,Hybrid,Automatic,Karachi,White,Imported,Crossover,4390000.0,89000.0,1500.0,,15,Honda,Vezel
MG HS PHEV 2025,2025,Hybrid,Automatic,Punjab,York White,Local,Crossover,10500000.0,402.0,1500.0,,24,MG,HS
Suzuki Mehran VX 1999,1999,Petrol,Manual,Lahore,Beige,Local,Hatchback,690000.0,98000.0,800.0,,0,Suzuki,Mehran
Suzuki Cultus VXL 2020,2020,Petrol,Manual,Islamabad,Graphite Grey,Local,Hatchback,2980000.0,53000.0,1000.0,,12,Suzuki,Cultus
Toyota Corolla GLi 1.3 VVTi 2011,2011,Petrol,Manual,Lahore,Black,Imported,Sedan,2575000.0,100000.0,1300.0,,9,Toyota,Corolla
Toyota Fortuner 2.8 Sigma 4 2021,2021,Diesel,Automatic,Islamabad,Graphite,Local,SUV,15300000.0,58682.0,2800.0,,21,Toyota,Fortuner
KIA Sportage FWD 2021,2021,Petrol,Automatic,Islamabad,White,Local,Crossover,6850000.0,36800.0,2000.0,,14,KIA,Sportage
Honda City 1.3 i-VTEC 2009,2009,Petrol,Manual,Rawalpindi,Sporty Blue Metallic,Local,Sedan,2690000.0,67000.0,1300.0,,13,Honda,City
Mercedes Benz E Class E240 2003,2003,Petrol,Manual,Karachi,Diamond Silver Metallic,Imported,Sedan,3300000.0,83347.0,2600.0,,18,Mercedes Benz,E
Toyota Passo Moda G 2022,2022,Petrol,Automatic,Sindh,Maroon,Imported,Hatchback,4400000.0,9608.0,1000.0,,14,Toyota,Passo
Honda City i-DSI 2007,2007,Petrol,Manual,Abbottabad,Metallic Grey,Imported,Sedan,1850000.0,70000.0,1300.0,,9,Honda,City
Honda Civic 1.8 i-VTEC CVT 2018,2018,Petrol,Automatic,Islamabad,Taffeta White,Local,Sedan,5125000.0,42189.0,1800.0,,20,Honda,Civic
Toyota Corolla Altis Grande CVT-i 1.8 2017,2017,Petrol,Automatic,Islamabad,Super white,Local,Sedan,5400000.0,80000.0,1800.0,,15,Toyota,Corolla
Suzuki Mehran VX 2005,2005,Petrol,Manual,Multan,Snow White Pearl,Imported,Hatchback,600000.0,80000.0,800.0,,2,Suzuki,Mehran
Toyota Corolla GLi 1.3 VVTi 2009,2009,Petrol,Manual,Sindh,Gun Metallic,Local,Sedan,2200000.0,249201.0,1300.0,,12,Toyota,Corolla
Suzuki Mehran VXR Euro II 2016,2016,Petrol,Manual,Lahore,Solid White,Local,Hatchback,1225000.0,71097.0,796.0,,5,Suzuki,Mehran
Suzuki Cultus VXL 2002,2002,Petrol,Manual,Karachi,White,Local,Hatchback,790000.0,195000.0,1000.0,,4,Suzuki,Cultus
Suzuki Cultus Auto Gear Shift 2020,2020,Petrol,Automatic,Punjab,Silver,Local,Hatchback,3350000.0,64150.0,1000.0,,12,Suzuki,Cultus
Suzuki Alto VXR 2021,2021,Petrol,Manual,Lahore,Graphite Grey,Local,Hatchback,2470000.0,80000.0,660.0,,8,Suzuki,Alto
Suzuki Alto VXR 2024,2024,Petrol,Manual,Karachi,Solid White,Local,Hatchback,2690000.0,21000.0,660.0,,7,Suzuki,Alto
Toyota Raize XS 2020,2020,Petrol,Automatic,Karachi,Shining White Pearl,Imported,Compact SUV,5350000.0,63620.0,1000.0,,16,Toyota,Raize
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2012,2012,Petrol,Automatic,Islamabad,Polished Metal Metallic,Local,Sedan,2600000.0,170000.0,1800.0,,14,Honda,Civic
Honda City 1.3 i-VTEC Prosmatec 2018,2018,Petrol,Automatic,Islamabad,Taffeta White,Local,Sedan,3750000.0,80000.0,1300.0,,11,Honda,City
Nissan Dayz Highway Star X 2014,2014,Petrol,Automatic,Karachi,Silver,Imported,Hatchback,2450000.0,91000.0,660.0,,11,Nissan,Dayz
Toyota Corolla Altis Grande CVT-i 1.8 2017,2017,Petrol,Automatic,Sindh,Attitude Black,Local,Sedan,4850000.0,71000.0,1800.0,,15,Toyota,Corolla
Suzuki Wagon R VXL 2022,2022,Petrol,Manual,Lahore,Solid White,Local,Hatchback,3000000.0,90000.0,1000.0,,9,Suzuki,Wagon
Toyota Vitz F 1.0 2014,2014,Petrol,Automatic,Sindh,Polar White,Imported,Hatchback,2850000.0,144000.0,1000.0,,9,Toyota,Vitz
Toyota Corolla Altis Grande CVT-i 1.8 2017,2017,Petrol,Automatic,Islamabad,Graphite Grey,Local,Sedan,4640000.0,100000.0,1800.0,,15,Toyota,Corolla
Honda Civic Oriel Prosmatec UG 2016,2016,Petrol,Automatic,Islamabad,White,Local,Sedan,4950000.0,100000.0,1800.0,,15,Honda,Civic
Haval H6 HEV 2024,2024,Hybrid,Automatic,Karachi,Diamond Black,Local,SUV,11600000.0,5000.0,1500.0,,14,Haval,H6
Toyota Aqua G 2015,2015,Hybrid,Automatic,Karachi,Red Wine,Imported,Hatchback,3800000.0,163508.0,1500.0,,16,Toyota,Aqua
Mercedes Benz E Class E200 AMG 2021,2021,Petrol,Automatic,Un-Registered,White,Imported,Sedan,35500000.0,15000.0,2000.0,,13,Mercedes Benz,E
Toyota Corolla Altis Grande CVT-i 1.8 2020,2020,Petrol,Automatic,Sindh,White,Local,Sedan,5825000.0,58500.0,1800.0,,15,Toyota,Corolla
Toyota Hiace 1997,1997,Diesel,Manual,Karachi,White,Local,Unknown,2650000.0,190000.0,2500.0,,0,Toyota,Hiace
Toyota Corolla XLi VVTi 2017,2017,Petrol,Manual,Punjab,White,Local,Sedan,3749000.0,139318.0,1300.0,,5,Toyota,Corolla
Honda Civic VTi Prosmatec 1.6 2004,2004,Petrol,Automatic,Lahore,Canyon Stone Silver Metallic,Local,Sedan,1648999.9999999998,198000.0,1600.0,,11,Honda,Civic
Honda Fit Shuttle Hybrid 1.3 2012,2012,Hybrid,Automatic,Karachi,Black,Imported,Station Wagon,3200000.0,83000.0,1300.0,,11,Honda,Fit
Toyota Vitz F 1.0 2009,2009,Petrol,Automatic,Islamabad,Red,Imported,Hatchback,2480000.0,175000.0,1000.0,,12,Toyota,Vitz
Toyota Fortuner 2.8 Sigma 4 2021,2021,Diesel,Automatic,Karachi,Attitude Black,Local,SUV,16000000.0,52000.0,2800.0,,16,Toyota,Fortuner
Suzuki Cultus VXR 2020,2020,Petrol,Manual,Punjab,White,Local,Hatchback,3350000.0,55000.0,1000.0,,8,Suzuki,Cultus
Mercedes Benz G Class G 63 AMG 2020,2020,Petrol,Automatic,Un-Registered,Polar White,Imported,SUV,155000000.0,28000.0,4000.0,,21,Mercedes Benz,G
Toyota Premio F 1.5 2006,2006,Petrol,Automatic,Multan,Gold,Imported,Sedan,2750000.0,90000.0,1500.0,,11,Toyota,Premio
Toyota Surf SSR-X 2.7 1996,1996,Petrol,Automatic,Sindh,White,Imported,SUV,3900000.0,75000.0,2700.0,,11,Toyota,Surf
Nissan Dayz Highway Star X 2021,2021,Petrol,Automatic,Un-Registered,Burgundy,Imported,Hatchback,3279999.9999999995,40000.0,660.0,,12,Nissan,Dayz
Hyundai Santro Club 2005,2005,Petrol,Manual,Punjab,White,Local,Hatchback,1150000.0,143860.0,1000.0,,2,Hyundai,Santro
Suzuki Cultus Limited Edition 2016,2016,Petrol,Manual,Islamabad,Graphite Grey,Local,Hatchback,1900000.0,48000.0,1000.0,,6,Suzuki,Cultus
Suzuki Every 2020,2020,Petrol,Automatic,Lahore,Silver,Imported,Unknown,2250000.0,99000.0,660.0,,14,Suzuki,Every
Changan Karvaan Plus 2022,2022,Petrol,Manual,Punjab,Silver,Local,Mini Van,2590000.0,27500.0,1000.0,,7,Changan,Karvaan
Toyota Prius G Touring Selection 1.8 2010,2010,Hybrid,Automatic,Lahore,White,Imported,Sedan,4300000.0,145000.0,1800.0,,15,Toyota,Prius
Honda Civic 1.5 RS Turbo 2020,2020,Petrol,Automatic,Islamabad,Crystal Black Pearl,Local,Sedan,6250000.0,76125.0,1500.0,,15,Honda,Civic
Ford F 150 1976,1976,Petrol,Manual,Karachi,Black,Imported,Unknown,1200000.0,200.0,1800.0,,1,Ford,F
Toyota Vitz iLL 1.3 2007,2007,Petrol,Automatic,Islamabad,Silver,Imported,Hatchback,2450000.0,160.0,1300.0,,11,Toyota,Vitz
Suzuki Mehran VX 1999,1999,Petrol,Manual,Multan,Snow White Pearl,Local,Hatchback,495000.0,150000.0,800.0,,2,Suzuki,Mehran
MG HS Trophy 2023,2023,Petrol,Automatic,Islamabad,Pearl Black Metallic,Imported,Crossover,7198999.999999999,18000.0,1500.0,,18,MG,HS
Suzuki Every PZ Turbo 2019,2019,Petrol,Automatic,Un-Registered,White,Imported,Micro Van,3375000.0,138656.0,660.0,,14,Suzuki,Every
Honda Civic VTi 1.8 i-VTEC 2015,2015,Petrol,Manual,Karachi,Black,Local,Sedan,3475000.0,81500.0,1800.0,,11,Honda,Civic
Suzuki Cultus 2020,2020,Petrol,Automatic,Islamabad,Grey,Local,Unknown,3300000.0,82000.0,1000.0,,0,Suzuki,Cultus
Daihatsu Move L SA 3 2021,2021,Petrol,Automatic,Un-Registered,Silver,Imported,Hatchback,3250000.0,59000.0,660.0,,12,Daihatsu,Move
Toyota Raize Z 2020,2020,Petrol,Automatic,Un-Registered,Turquoise Blue Metallic,Imported,Crossover,5490000.0,48500.0,1000.0,,0,Toyota,Raize
Toyota Prado TX 2.7 2012,2012,Petrol,Automatic,Islamabad,Super White,Imported,SUV,16500000.0,108731.0,2700.0,,19,Toyota,Prado
Toyota Aqua G LED Soft Leather Selection  2014,2014,Hybrid,Automatic,Islamabad,Turquoise,Imported,Hatchback,3485000.0,150000.0,1500.0,,12,Toyota,Aqua
Suzuki Liana RXi 2006,2006,Petrol,Manual,Karachi,Graphite Grey,Local,Sedan,975000.0,91000.0,1300.0,,10,Suzuki,Liana
Nissan Juke 15RX 2012,2012,Petrol,Automatic,Sindh,Black,Imported,SUV,3150000.0,153000.0,1500.0,,14,Nissan,Juke
Suzuki Wagon R VXL 2018,2018,Petrol,Manual,Lahore,Solid White,Local,Hatchback,2380000.0,74000.0,1000.0,,9,Suzuki,Wagon
Toyota Vitz F 1.0 2014,2014,Petrol,Automatic,Sindh,Blue,Imported,Hatchback,2725000.0,196421.0,1000.0,,13,Toyota,Vitz
Suzuki Mehran VXR Euro II 2018,2018,Petrol,Manual,Islamabad,Graphite Grey,Local,Hatchback,1700000.0,70000.0,796.0,,4,Suzuki,Mehran
Toyota Yaris Sedan ATIV X CVT 1.5 2021,2021,Petrol,Automatic,Sindh,Attitude Black,Local,Sedan,4700000.0,42941.0,1500.0,,13,Toyota,Yaris
Nissan Roox S Hybrid 2022,2022,Hybrid,Automatic,Un-Registered,White,Imported,Hatchback,3890000.0,31971.0,660.0,,21,Nissan,Roox
Suzuki Mehran 2008,2008,Petrol,Manual,Sindh,Blue,Local,Unknown,495000.0,56565.0,800.0,,0,Suzuki,Mehran
Toyota Land Cruiser ZX 2015,2015,Petrol,Automatic,Punjab,White,Imported,SUV,27500000.0,283894.0,4600.0,,17,Toyota,Land
Toyota Prius PHV (Plug In Hybrid) 2021,2021,Hybrid,Automatic,Punjab,Platinum Pearl White,Imported,Sedan,10300000.0,52797.0,1800.0,,25,Toyota,Prius
Toyota Raize G 2020,2020,Petrol,Automatic,Un-Registered,Burgundy,Imported,Crossover,5550000.0,6000.0,1000.0,,11,Toyota,Raize
Toyota Corolla XLi VVTi 2014,2014,Petrol,Manual,Sindh,Attitude Black,Local,Sedan,2675000.0,90000.0,1300.0,,7,Toyota,Corolla
Suzuki Jimny 2014,2014,Petrol,Automatic,Lahore,White,Imported,Unknown,2450000.0,77965.0,660.0,,9,Suzuki,Jimny
Toyota Fj Cruiser Automatic 2013,2013,Petrol,Automatic,Islamabad,Beige,Imported,Off-Road Vehicles,16500000.0,145000.0,4000.0,,14,Toyota,Fj
Toyota Probox F 2006,2006,Petrol,Automatic,Lahore,White,Imported,Station Wagon,2275000.0,271000.0,1500.0,,10,Toyota,Probox
Suzuki Mehran VXR Euro II 2017,2017,Petrol,Manual,Faisalabad,Graphite Grey,Local,Hatchback,1250000.0,100000.0,796.0,,4,Suzuki,Mehran
Daihatsu Taft 2021,2021,Petrol,Automatic,Un-Registered,Red,Imported,Unknown,4050000.0,6000.0,660.0,,9,Daihatsu,Taft
Honda City i-DSI 2005,2005,Petrol,Manual,Sindh,Grey,Local,Sedan,1750000.0,181000.0,1300.0,,7,Honda,City
Suzuki Vitara GLX 1.6 2019,2019,Petrol,Automatic,Sindh,Cool White Pearl,Local,SUV,4600000.0,34935.0,1600.0,,22,Suzuki,Vitara
Toyota Yaris Hatchback G 2022,2022,Petrol,Automatic,Un-Registered,Silver Metallic,Imported,Hatchback,4625000.0,56900.0,1500.0,,12,Toyota,Yaris
Suzuki Alto 2005,2005,Petrol,Manual,Rawalpindi,Silver,Imported,Unknown,795000.0,2600.0,1000.0,,3,Suzuki,Alto
