name,year,fuel,transmission,registration_location,color,assembly,body_type,price_pkr,mileage_km,engine_cc,battery_kwh,feature_count,brand,model,vehicle_age
Suzuki Alto VXL AGS 2022,2022,Petrol,Automatic,Islamabad,Solid White,Local,Hatchback,2390000.0,120000.0,660.0,,10,Suzuki,Alto,3
Honda N Box Custom GL 2022,2022,Petrol,Automatic,Islamabad,White,Imported,Hatchback,3340000.0,37110.0,658.0,,20,Honda,N,3
Honda Civic EX 1995,1995,LPG,Manual,Karachi,Black,Local,Sedan,630000.0,786.0,1500.0,,8,Honda,Civic,30
Toyota Corolla GLi Automatic 1.6 VVTi 2012,2012,Petrol,Automatic,Lahore,Medium Silver,Imported,Sedan,3325000.0,133000.0,1600.0,,9,Toyota,Corolla,13
Toyota Corolla Hatchback 1998,1998,Petrol,Automatic,Punjab,Black,Local,Unknown,1645000.0,125225.0,1600.0,,15,Toyota,Corolla,27
Suzuki Bolan Cargo Van Euro ll 2024,2024,Petrol,Manual,Islamabad,Solid White,Local,Mini Van,2349000.0,4100.0,800.0,,5,Suzuki,Bolan,1
Toyota Prado TX L Package 2.7 2022,2022,Petrol,Automatic,Un-Registered,White Pearl Crystal Shine,Imported,SUV,35000000.0,4917.0,2700.0,,22,Toyota,Prado,3
Honda Civic 1.5 VTEC Turbo Oriel 2021,2021,Petrol,Automatic,Islamabad,White,Local,Sedan,6850000.0,75000.0,1500.0,,15,Honda,Civic,4
BMW iX xDrive40 2022,2022,Electric,Automatic,Islamabad,Sophisto Grey Brilliant Effect,Imported,SUV,34500000.0,22000.0,,71.0,18,BMW,iX,3
Suzuki Alto VXR 2006,2006,Petrol,Manual,Karachi,Blue,Local,Hatchback,1095000.0,180000.0,1000.0,,7,Suzuki,Alto,19
KIA Sportage AWD 2021,2021,Petrol,Automatic,Punjab,White,Local,Crossover,6984999.999999999,43736.0,2000.0,,21,KIA,Sportage,4
Honda City VTEC Steermatic 2006,2006,Petrol,Automatic,Islamabad,Black,Local,Sedan,2140000.0,170000.0,1500.0,,8,Honda,City,19
Suzuki Liana Eminent Automatic 2010,2010,Petrol,Automatic,Lahore,White,Local,Sedan,1780000.0,122000.0,1600.0,,11,Suzuki,Liana,15
Honda City Aspire 1.5 i-VTEC 2014,2014,Petrol,Manual,Rawalpindi,Bronze,Local,Sedan,2850000.0,147500.0,1500.0,,13,Honda,City,11
Chery Tiggo 8 Pro 1.6 DEX Plus 2023,2023,Petrol,Automatic,Punjab,Quartz Black,Local,Crossover,7900000.0,28874.0,1600.0,,21,Chery,Tiggo,2
MG HS Trophy 2021,2021,Petrol,Automatic,Punjab,White,Local,Crossover,6450000.0,31500.0,1500.0,,15,MG,HS,4
Suzuki Bolan VX Euro II 2022,2022,Petrol,Manual,Punjab,Solid White,Local,Van,1720000.0,60000.0,800.0,,4,Suzuki,Bolan,3
Isuzu D-Max V-Cross Limited GTX Edition 2024,2024,Diesel,Automatic,Karachi,Black,Local,Double Cabin,13000000.0,3497.0,3000.0,,20,Isuzu,D-Max,1
Toyota Corolla Altis Automatic 1.6 2015,2015,Petrol,Automatic,Sindh,Phantom Brown,Local,Sedan,3550000.0,113026.0,1600.0,,19,Toyota,Corolla,10
Suzuki Baleno 1999,1999,Petrol,Manual,Lahore,Keen Gold,Local,Unknown,810000.0,100000.0,1300.0,,1,Suzuki,Baleno,26
Toyota Prado RZ 3.4 (3-Door) 2003,2003,Petrol,Automatic,Bahawalpur,Dark Grey Mica Metallic,Imported,SUV,6500000.0,163109.0,3400.0,,17,Toyota,Prado,22
KIA Sportage FWD 2024,2024,Petrol,Automatic,Islamabad,White,Local,Crossover,8435000.0,4980.0,2000.0,,21,KIA,Sportage,1
Toyota C-HR G Nero 2019,2019,Hybrid,Automatic,Islamabad,Navy,Imported,Crossover,9500000.0,57000.0,1800.0,,14,Toyota,C-HR,6
Honda Civic Oriel 1.8 i-VTEC CVT 2018,2018,Petrol,Automatic,Islamabad,Lunar Silver Metallic,Local,Sedan,5775000.0,31000.0,1800.0,,14,Honda,Civic,7
Suzuki Wagon R VXL 2018,2018,Petrol,Manual,Karachi,Silky Silver,Local,Hatchback,2350000.0,39550.0,1000.0,,8,Suzuki,Wagon,7
Honda City Aspire 1.5 i-VTEC 2018,2018,Petrol,Manual,Sindh,Lunar Silver Metallic,Local,Sedan,3600000.0,85000.0,1500.0,,13,Honda,City,7
Suzuki Ravi Euro II 2018,2018,Petrol,Manual,Lahore,Solid White,Local,Pick Up,1320000.0,68000.0,800.0,,1,Suzuki,Ravi,7
Honda Civic Turbo 1.5 VTEC CVT 2016,2016,Petrol,Automatic,Lahore,Red,Local,Sedan,4690000.0,129.0,1500.0,,16,Honda,Civic,9
Honda City 1.3 i-VTEC 2016,2016,Petrol,Manual,Punjab,Lunar Silver Metallic,Local,Sedan,3450000.0,116000.0,1300.0,,8,Honda,City,9
Toyota Corolla GLi 1.3 VVTi 2012,2012,Petrol,Manual,Islamabad,Wine Red,Local,Sedan,2800000.0,156722.0,1300.0,,12,Toyota,Corolla,13
Suzuki Alto VXR 2011,2011,Petrol,Manual,Islamabad,Solid White,Local,Hatchback,1325000.0,150000.0,1000.0,,7,Suzuki,Alto,14
Suzuki Cultus VXRi 2008,2008,Petrol,Manual,Karachi,Solid White,Local,Hatchback,950000.0,85000.0,1000.0,,6,Suzuki,Cultus,17
Honda BR-V i-VTEC S 2018,2018,Petrol,Automatic,Lahore,Black,Local,MPV,4275000.0,75000.0,1500.0,,14,Honda,BR-V,7
Toyota Belta X L Package 1.3 2006,2006,Petrol,Automatic,Gujranwala,Silver Metallic,Imported,Sedan,2500000.0,200000.0,1300.0,,12,Toyota,Belta,19
Honda Civic EX 1994,1994,Petrol,Manual,Punjab,Maroon,Imported,Sedan,434999.99999999994,100000.0,1500.0,,7,Honda,Civic,31
Toyota Corolla GLi 1.3 VVTi 2017,2017,Petrol,Manual,Karachi,White,Local,Sedan,3490000.0,105000.0,1300.0,,11,Toyota,Corolla,8
Suzuki Swift DLX 1.3 2014,2014,Petrol,Manual,Lahore,Solid White,Local,Hatchback,2030000.0,118000.0,1300.0,,11,Suzuki,Swift,11
Toyota Corolla XE 1999,1999,Petrol,Manual,Lahore,British Green,Local,Sedan,1350000.0,386088.0,1300.0,,4,Toyota,Corolla,26
Toyota Corolla GLi 1.3 VVTi 2015,2015,Petrol,Manual,Lahore,Attitude Black,Local,Sedan,3440000.0,120000.0,1300.0,,12,Toyota,Corolla,10
Daihatsu Mira X Memorial Edition 2017,2017,Petrol,Automatic,Karachi,Pearl White,Imported,Hatchback,2900000.0,56500.0,660.0,,10,Daihatsu,Mira,8
Suzuki Mehran VXR Euro II 2017,2017,Petrol,Manual,Punjab,White,Local,Hatchback,1095000.0,32000.0,800.0,,5,Suzuki,Mehran,8
Suzuki Wagon R FX Limited 2009,2009,Petrol,Automatic,Islamabad,Bluish Black Pearl,Imported,Hatchback,1950000.0,148424.0,660.0,,13,Suzuki,Wagon,16
Mercedes Benz CLA Class CLA180 2013,2013,Petrol,Automatic,Lahore,Cirrus White,Imported,Sedan,12000000.0,144000.0,1600.0,,16,Mercedes Benz,CLA,12
Suzuki Alto VXR 2022,2022,Petrol,Manual,Punjab,Solid White,Local,Hatchback,2600000.0,36000.0,660.0,,7,Suzuki,Alto,3
Suzuki Wagon R AGS 2022,2022,Petrol,Automatic,Lahore,Pearl Black,Local,Hatchback,3000000.0,65563.0,1000.0,,12,Suzuki,Wagon,3
Daihatsu Cast Style G SA III 2021,2021,Petrol,Automatic,Karachi,White,Imported,Hatchback,3550000.0,19284.0,660.0,,19,Daihatsu,Cast,4
Toyota Corolla SE Saloon Automatic 2003,2003,Petrol,Automatic,Sindh,white,Local,Sedan,2000000.0,86000.0,1600.0,,9,Toyota,Corolla,22
Suzuki Bolan VX Euro II 2016,2016,Petrol,Manual,Lahore,Solid White,Local,Van,1365000.0,16000.0,800.0,,2,Suzuki,Bolan,9
Honda Vezel Hybrid Z 2015,2015,Hybrid,Automatic,Karachi,White,Imported,Crossover,4390000.0,89000.0,1500.0,,15,Honda,Vezel,10
MG HS PHEV 2025,2025,Hybrid,Automatic,Punjab,York White,Local,Crossover,10500000.0,402.0,1500.0,,24,MG,HS,0
Suzuki Mehran VX 1999,1999,Petrol,Manual,Lahore,Beige,Local,Hatchback,690000.0,98000.0,800.0,,0,Suzuki,Mehran,26
Suzuki Cultus VXL 2020,2020,Petrol,Manual,Islamabad,Graphite Grey,Local,Hatchback,2980000.0,53000.0,1000.0,,12,Suzuki,Cultus,5
